elapsed,voltage,current,power
0,4.1393,0.0,0.0
5,3.8119,3.4993,13.335
10,3.7888,3.4993,13.258
15,3.7728,3.4993,13.202
20,3.76,3.4991,13.156
25,3.7494,3.4991,13.119
30,3.7402,3.4991,13.087
35,3.732,3.4991,13.058
40,3.725,3.4991,13.034
45,3.7189,3.4991,13.012
50,3.7133,3.4993,12.993
55,3.7084,3.4993,12.976
60,3.7042,3.4993,12.962
65,3.7003,3.4993,12.948
70,3.6967,3.4993,12.935
75,3.6936,3.4993,12.925
80,3.6908,3.4991,12.914
85,3.6881,3.4991,12.905
90,3.6858,3.4991,12.896
95,3.6836,3.4993,12.89
100,3.6815,3.4993,12.882
105,3.6797,3.4993,12.876
110,3.6779,3.4993,12.87
115,3.6762,3.4991,12.863
120,3.6747,3.4993,12.858
125,3.6733,3.4991,12.853
130,3.6718,3.4991,12.847
135,3.6706,3.4991,12.843
140,3.6693,3.4991,12.839
145,3.6682,3.4991,12.835
150,3.667,3.4993,12.831
155,3.6659,3.4993,12.828
160,3.665,3.4993,12.824
165,3.6639,3.4991,12.82
170,3.6628,3.4993,12.817
175,3.6618,3.4991,12.813
180,3.6609,3.4993,12.81
185,3.66,3.4991,12.806
190,3.659,3.4993,12.803
195,3.6581,3.4991,12.8
200,3.6571,3.4993,12.797
205,3.6564,3.4991,12.794
210,3.6556,3.4993,12.792
215,3.6546,3.4993,12.788
220,3.6539,3.4991,12.785
225,3.6529,3.4993,12.782
230,3.6521,3.4993,12.779
235,3.6514,3.4991,12.776
240,3.6506,3.4993,12.774
245,3.6496,3.4993,12.771
250,3.6489,3.4993,12.768
255,3.6481,3.4991,12.765
260,3.6473,3.4993,12.762
265,3.6465,3.4993,12.76
270,3.6457,3.4993,12.757
275,3.645,3.4993,12.754
280,3.6442,3.4993,12.752
285,3.6434,3.4993,12.749
290,3.6426,3.4991,12.745
295,3.6418,3.4993,12.743
300,3.641,3.4993,12.74
305,3.6403,3.4993,12.738
310,3.6395,3.4991,12.734
315,3.6387,3.4993,12.732
320,3.6379,3.4993,12.73
325,3.637,3.4993,12.726
330,3.6362,3.4991,12.723
335,3.6354,3.4993,12.721
340,3.6346,3.4993,12.718
345,3.6339,3.4991,12.715
350,3.6331,3.4993,12.713
355,3.6321,3.4993,12.709
360,3.6314,3.4993,12.707
365,3.6306,3.4991,12.703
370,3.6298,3.4993,12.701
375,3.6289,3.4993,12.698
380,3.6281,3.4993,12.695
385,3.6271,3.4993,12.692
390,3.6264,3.4991,12.689
395,3.6254,3.4993,12.686
400,3.6246,3.4993,12.683
405,3.6237,3.4991,12.679
410,3.6229,3.4993,12.677
416,3.622,3.4993,12.674
421,3.621,3.4993,12.67
426,3.6203,3.4993,12.668
431,3.6193,3.4991,12.664
436,3.6184,3.4993,12.661
441,3.6174,3.4991,12.657
446,3.6167,3.4993,12.655
451,3.6157,3.4991,12.651
456,3.6148,3.4993,12.649
461,3.6138,3.4991,12.645
466,3.6129,3.4993,12.642
471,3.612,3.4991,12.638
476,3.611,3.4993,12.635
481,3.6101,3.4991,12.632
486,3.6092,3.4993,12.629
491,3.6082,3.4991,12.625
496,3.6071,3.4993,12.622
501,3.6062,3.4991,12.618
506,3.6052,3.4993,12.615
511,3.6043,3.4993,12.612
516,3.6032,3.4991,12.607
521,3.6023,3.4993,12.605
526,3.6013,3.4991,12.601
531,3.6002,3.4993,12.598
536,3.5993,3.4993,12.595
541,3.5982,3.4991,12.59
546,3.5973,3.4993,12.588
551,3.5962,3.4991,12.583
556,3.5952,3.4993,12.58
561,3.5941,3.4993,12.576
566,3.5931,3.4991,12.572
571,3.5921,3.4993,12.569
576,3.591,3.4993,12.565
581,3.5901,3.4991,12.562
586,3.589,3.4993,12.558
591,3.5879,3.4993,12.555
596,3.587,3.4991,12.551
601,3.5859,3.4993,12.548
606,3.5848,3.4993,12.544
611,3.5837,3.4991,12.539
616,3.5827,3.4993,12.536
621,3.5816,3.4993,12.533
626,3.5805,3.4991,12.528
631,3.5794,3.4993,12.525
636,3.5785,3.4993,12.522
641,3.5774,3.4991,12.517
646,3.5763,3.4991,12.513
651,3.5752,3.4993,12.51
656,3.5741,3.4993,12.506
661,3.573,3.4991,12.502
666,3.5719,3.4991,12.498
671,3.5709,3.4993,12.495
676,3.5698,3.4993,12.491
681,3.5687,3.4991,12.487
686,3.5676,3.4991,12.483
691,3.5665,3.4993,12.48
696,3.5654,3.4993,12.476
701,3.5643,3.4991,12.471
706,3.5632,3.4991,12.467
711,3.5621,3.4993,12.464
716,3.561,3.4993,12.461
721,3.5598,3.4993,12.456
726,3.5587,3.4991,12.452
731,3.5576,3.4991,12.448
736,3.5565,3.4993,12.445
741,3.5554,3.4993,12.44
746,3.5541,3.4993,12.436
751,3.553,3.4991,12.432
756,3.5518,3.4991,12.428
761,3.5507,3.4991,12.424
766,3.5496,3.4993,12.421
771,3.5485,3.4993,12.417
776,3.5472,3.4993,12.412
781,3.5461,3.4991,12.408
786,3.5449,3.4991,12.403
791,3.5438,3.4991,12.4
796,3.5426,3.4993,12.396
801,3.5415,3.4993,12.392
806,3.5402,3.4993,12.388
811,3.5391,3.4993,12.384
816,3.5379,3.4993,12.38
821,3.5368,3.4991,12.375
826,3.5355,3.4991,12.371
831,3.5344,3.4991,12.367
836,3.5332,3.4991,12.363
841,3.5319,3.4991,12.358
846,3.5307,3.4991,12.354
851,3.5296,3.4993,12.351
856,3.5283,3.4993,12.346
861,3.5271,3.4993,12.342
866,3.5258,3.4993,12.337
871,3.5246,3.4993,12.333
876,3.5235,3.4993,12.329
881,3.5222,3.4993,12.325
886,3.521,3.4993,12.321
892,3.5197,3.4993,12.316
897,3.5185,3.4993,12.312
902,3.5172,3.4993,12.307
907,3.516,3.4993,12.303
912,3.5147,3.4993,12.298
917,3.5135,3.4993,12.294
922,3.5122,3.4993,12.29
927,3.5108,3.4993,12.285
932,3.5096,3.4993,12.281
937,3.5083,3.4993,12.276
942,3.5069,3.4991,12.27
947,3.5057,3.4991,12.266
952,3.5044,3.4991,12.262
957,3.503,3.4991,12.257
962,3.5018,3.4991,12.253
967,3.5003,3.4993,12.248
972,3.4991,3.4993,12.244
977,3.4977,3.4993,12.239
982,3.4963,3.4991,12.233
987,3.495,3.4991,12.229
992,3.4936,3.4993,12.225
997,3.4922,3.4993,12.22
1002,3.4908,3.4993,12.215
1007,3.4894,3.4993,12.21
1012,3.488,3.4993,12.205
1017,3.4866,3.4993,12.2
1022,3.485,3.4993,12.195
1027,3.4836,3.4993,12.19
1032,3.4822,3.4993,12.185
1037,3.4806,3.4993,12.179
1042,3.4792,3.4993,12.174
1047,3.4777,3.4993,12.169
1052,3.4761,3.4991,12.163
1057,3.4745,3.4993,12.158
1062,3.4731,3.4991,12.152
1067,3.4714,3.4993,12.147
1072,3.4699,3.4991,12.141
1077,3.4683,3.4993,12.136
1082,3.4667,3.4993,12.131
1087,3.465,3.4993,12.125
1092,3.4634,3.4993,12.119
1097,3.4617,3.4993,12.113
1102,3.46,3.4991,12.106
1107,3.4583,3.4993,12.101
1112,3.4564,3.4993,12.094
1117,3.4547,3.4993,12.089
1122,3.4528,3.4993,12.082
1127,3.4511,3.4993,12.076
1132,3.4492,3.4993,12.069
1137,3.4473,3.4993,12.063
1142,3.4453,3.4993,12.056
1147,3.4434,3.4993,12.049
1152,3.4414,3.4993,12.042
1157,3.4394,3.4993,12.035
1162,3.4373,3.4993,12.028
1167,3.4353,3.4993,12.021
1172,3.4331,3.4993,12.013
1177,3.4309,3.4993,12.005
1182,3.4287,3.4993,11.998
1187,3.4266,3.4993,11.99
1192,3.4242,3.4991,11.981
1197,3.422,3.4993,11.974
1202,3.4195,3.4993,11.965
1207,3.417,3.4993,11.957
1212,3.4145,3.4993,11.948
1217,3.4119,3.4993,11.939
1222,3.4092,3.4991,11.929
1227,3.4065,3.4993,11.92
1232,3.4037,3.4991,11.909
1237,3.4008,3.4993,11.9
1242,3.3978,3.4993,11.889
1247,3.3947,3.4993,11.879
1252,3.3915,3.4993,11.867
1257,3.3882,3.4993,11.856
1262,3.3848,3.4991,11.843
1267,3.3814,3.4993,11.832
1272,3.3776,3.4993,11.819
1277,3.3739,3.4993,11.806
1282,3.3701,3.4993,11.792
1287,3.366,3.4993,11.778
1292,3.3618,3.4991,11.763
1297,3.3575,3.4991,11.748
1302,3.3529,3.4991,11.732
1307,3.3481,3.4991,11.715
1312,3.3432,3.4993,11.698
1317,3.3381,3.4993,11.681
1322,3.3327,3.4993,11.662
1327,3.3273,3.4991,11.642
1332,3.3215,3.4993,11.622
1337,3.3156,3.4993,11.602
1342,3.3093,3.4991,11.579
1347,3.3027,3.4993,11.557
1352,3.2959,3.4993,11.533
1357,3.2887,3.4991,11.507
1362,3.281,3.4991,11.48
1367,3.2732,3.4993,11.453
1372,3.2647,3.4993,11.424
1377,3.256,3.4991,11.393
1383,3.2468,3.4991,11.36
1388,3.2369,3.4993,11.326
1393,3.2266,3.4993,11.29
1398,3.2157,3.4993,11.25
1403,3.2036,3.4991,11.209
1408,3.1913,3.4993,11.167
